1 831176849.4 1038362.3825513321
2 732744984.7 211954.27712482278
3 583256041.8 536776.4677824811
4 447164149.7 372920.72277941456
5 377793280.7 16903333.32006702
6 303079669.3 4528766.833587382
7 268825614.7 2855720.185474622
8 238078826.7 7884116.16001537
9 221395572.2 10904563.589807782
10 207306700 10383004.28740422
11 197437529.7 7416149.727197248
12 180809504 5246661.347667311
13 170172386.1 6623779.295663082
14 159323971.1 5702935.260702038
15 160645029.7 9005115.070403636
16 151333286.8 4408785.341468628
10 204920192.6 7299440.037276122
20 144147189.9 5081300.20797926
30 135144176 6670857.046114155
40 131156185 5913360.903535879
50 132471333.4 7615339.193958001
60 129122907 7469747.717836741
70 132234870.9 12019174.325588087
80 132525537.5 7262544.530605492
90 130647623.7 8251792.123290133
100 132237886.4 4248534.541125539
200 138196638.8 8043217.62449778
300 147597853.4 9039867.141430348
400 160336157.9 10183577.833421992
500 158067398.5 6171647.362186486
600 152652635.3 6378636.234456824
700 156903169.6 4868426.789149087
800 181360784.5 6161504.258309349
900 177080731 5508630.563576665
