# Produced from mandelbrot commit 83df050 with the command:
#
# $ moz settle-down ./target/release/mandelbrot mandel.png 1920x1080 -1.20,0.35 -1,0.20
#
# The 'moz settle-down' command tells all CPUs to use the 'performance' governor,
# and pauses programs that may use blocks of CPU, like Firefox and Emacs.

1 2811.5213882194907
2 5496.322515330929
3 8105.263054414715
4 10781.2103717989
5 12793.665161414056
6 14835.82040868786
7 16801.05736793392
8 18731.360778438353
9 18854.512102469547
10 18797.574391314534
11 18841.52455574434
12 18871.514640406116
13 18819.67416324433
14 18820.870468345147
15 18823.01945078476
16 18792.774241744162
20 18787.9512640218
30 18785.695403212085
40 18804.23407582399
50 18750.029330829304
60 18772.59307513842
70 18713.0271687101
80 18761.670993714266
90 18714.62139181946
