# Produced from mandelbrot commit 218c0d6 with the command:
#
# $ moz settle-down ./target/release/mandelbrot mandel.png 1920x1080 -1.20,0.35 -1,0.20
#
# The 'moz settle-down' command tells all CPUs to use the 'performance' governor,
# and pauses programs that may use blocks of CPU, like Firefox and Emacs.

1 2854.0822259740444
2 3218.2992420404753
3 3996.680584849173
4 5146.11286332333
5 5922.5886474223635
6 7318.335490120611
7 8639.61856084054
8 9586.36829523751
9 10616.835723536626
10 11284.505626861512
11 11780.368828315772
12 12920.788837961323
13 13403.349589236233
14 14266.342157377163
15 14634.201905492218
16 14953.949968768053
20 16464.614786810514
30 17199.08154615314
40 17717.544127769022
50 17957.483864320453
60 17975.093105581785
70 18167.424486691845
80 17997.09757745362
90 17617.97074478013
100 17440.0016969014
200 16966.06703546235
300 15706.320587809958
400 14666.547854614748
500 15028.967290774683
600 12853.794677943219
700 12640.057125548297
800 12817.43071677553
900 12733.311403741473
1000 12690.150260136605
