1 2829.7503543635944
2 5527.986203931514
3 8135.946885685499
4 10831.394316912718
5 12874.760035996056
6 14913.421943459884
7 16928.326501570664
8 18975.267300214506
9 18932.836465680248
10 18960.76197135726
11 18964.97921688053
12 18957.055504130236
13 18936.348864092117
14 18988.298145345725
15 18975.324080800838
16 18932.368013862844
20 18988.65756001382
30 18906.77431200691
40 18876.589145994014
50 18850.453424039504
60 18888.544945999107
70 18868.02873949457
80 18799.62269476381
90 18849.65010564249
