# Produced from mandelbrot commit 218c0d6 with the command:
#
# $ moz settle-down ./target/release/mandelbrot mandel.png 1920x1080 -1.20,6 -1,5
#
# The 'moz settle-down' command tells all CPUs to use the 'performance' governor,
# and pauses programs that may use blocks of CPU, like Firefox and Emacs.

1 215999.48250123984
2 418262.5583908026
3 616314.5011050623
4 712807.8186107604
5 500060.6506817354
6 597024.2074659121
7 691276.8469428185
8 777615.6495149465
9 594017.967496595
10 640670.4299669145
11 606685.9211036207
12 555823.3797229809
13 585697.9376433368
14 572355.3682053502
15 587339.6524652134
16 569142.0751371289
20 569024.3931888307
30 506448.2022627508
40 484509.07473159936
50 439323.6627466309
60 419500.7564709701
70 394149.72024987906
80 394491.68910683756
90 418268.8016475789
100 423551.341965929
200 408965.89081285225
300 286831.8375040097
400 202428.80397094713
500 204116.9993206436
600 105162.55541561042
700 105423.97880498087
800 106726.21704095902
900 105833.53516952849
1000 105377.58548220486
